Question,Answer,Class
Hello,Hi,greetings
Hi,Hello,greetings
Hey,Hi,greetings
Greetings,Hi,greetings
Hey There,Hey,greetings
"Hi, How is it going?",Good,greetings
"Hey, How is it going?",Fine,greetings
Howdy,Hey,greetings
Whatsup,Nothing much,greetings
How are you doing?,Good,greetings
Nice to meet you.,Thank you,greetings
How do you do?,I'm doing well.,greetings
"Hi, nice to meet you.",Thank you. You too.,greetings
Bye,C U,greetings
C U,Bye,greetings
Tata,Bye,greetings
Good Morning,Good Morning,greetings
Good Afternoon,Good Afternoon,greetings
Good Evening,Good Evening,greetings
Good Day,Good Day,greetings
What's up?,Not much,greetings
